num-p: 100 -> time: 17 (prec: 4, pagesize 4096)
num-p: 200 -> time: 17 (prec: 4, pagesize 4096)
num-p: 300 -> time: 17 (prec: 4, pagesize 4096)
num-p: 400 -> time: 17 (prec: 4, pagesize 4096)
num-p: 500 -> time: 17 (prec: 4, pagesize 4096)
num-p: 600 -> time: 17 (prec: 4, pagesize 4096)
num-p: 700 -> time: 17 (prec: 4, pagesize 4096)
num-p: 800 -> time: 17 (prec: 4, pagesize 4096)
num-p: 900 -> time: 17 (prec: 4, pagesize 4096)
num-p: 1000 -> time: 17 (prec: 4, pagesize 4096)
num-p: 1100 -> time: 17 (prec: 4, pagesize 4096)
num-p: 1200 -> time: 17 (prec: 4, pagesize 4096)
num-p: 1300 -> time: 17 (prec: 4, pagesize 4096)
num-p: 1400 -> time: 17 (prec: 4, pagesize 4096)
num-p: 1500 -> time: 3 (prec: 17, pagesize 4096)
num-p: 1600 -> time: 15 (prec: 4, pagesize 4096)
num-p: 1700 -> time: 14 (prec: 4, pagesize 4096)
num-p: 1800 -> time: 13 (prec: 4, pagesize 4096)
num-p: 1900 -> time: 11 (prec: 4, pagesize 4096)
num-p: 2000 -> time: 10 (prec: 4, pagesize 4096)
num-p: 2100 -> time: 10 (prec: 4, pagesize 4096)
num-p: 2200 -> time: 10 (prec: 4, pagesize 4096)
num-p: 2300 -> time: 10 (prec: 4, pagesize 4096)
num-p: 2400 -> time: 11 (prec: 4, pagesize 4096)
num-p: 2500 -> time: 11 (prec: 4, pagesize 4096)
num-p: 2600 -> time: 12 (prec: 4, pagesize 4096)
num-p: 2700 -> time: 11 (prec: 4, pagesize 4096)
num-p: 2800 -> time: 11 (prec: 4, pagesize 4096)
num-p: 2900 -> time: 12 (prec: 4, pagesize 4096)
num-p: 3000 -> time: 12 (prec: 4, pagesize 4096)
num-p: 3100 -> time: 12 (prec: 4, pagesize 4096)
num-p: 3200 -> time: 11 (prec: 5, pagesize 4096)
num-p: 3300 -> time: 13 (prec: 4, pagesize 4096)
num-p: 3400 -> time: 13 (prec: 4, pagesize 4096)
num-p: 3500 -> time: 13 (prec: 4, pagesize 4096)
num-p: 3600 -> time: 13 (prec: 4, pagesize 4096)
num-p: 3700 -> time: 17 (prec: 4, pagesize 4096)
num-p: 3800 -> time: 14 (prec: 4, pagesize 4096)
num-p: 3900 -> time: 14 (prec: 4, pagesize 4096)
num-p: 4000 -> time: 14 (prec: 4, pagesize 4096)
num-p: 4100 -> time: 15 (prec: 4, pagesize 4096)
num-p: 4200 -> time: 16 (prec: 4, pagesize 4096)
num-p: 4300 -> time: 15 (prec: 4, pagesize 4096)
num-p: 4400 -> time: 15 (prec: 4, pagesize 4096)
num-p: 4500 -> time: 15 (prec: 4, pagesize 4096)
num-p: 4600 -> time: 15 (prec: 4, pagesize 4096)
num-p: 4700 -> time: 16 (prec: 4, pagesize 4096)
num-p: 4800 -> time: 91 (prec: 4, pagesize 4096)
num-p: 4900 -> time: 16 (prec: 4, pagesize 4096)
num-p: 5000 -> time: 16 (prec: 4, pagesize 4096)
num-p: 5100 -> time: 16 (prec: 4, pagesize 4096)
num-p: 5200 -> time: 16 (prec: 4, pagesize 4096)
num-p: 5300 -> time: 16 (prec: 4, pagesize 4096)
num-p: 5400 -> time: 16 (prec: 4, pagesize 4096)
num-p: 5500 -> time: 17 (prec: 4, pagesize 4096)
num-p: 5600 -> time: 16 (prec: 4, pagesize 4096)
num-p: 5700 -> time: 17 (prec: 4, pagesize 4096)
num-p: 5800 -> time: 16 (prec: 4, pagesize 4096)
num-p: 5900 -> time: 17 (prec: 4, pagesize 4096)
num-p: 6000 -> time: 17 (prec: 4, pagesize 4096)
num-p: 6100 -> time: 16 (prec: 4, pagesize 4096)
num-p: 6200 -> time: 16 (prec: 4, pagesize 4096)
num-p: 6300 -> time: 17 (prec: 4, pagesize 4096)
num-p: 6400 -> time: 17 (prec: 4, pagesize 4096)
num-p: 6500 -> time: 16 (prec: 4, pagesize 4096)
num-p: 6600 -> time: 17 (prec: 4, pagesize 4096)
num-p: 6700 -> time: 16 (prec: 4, pagesize 4096)
num-p: 6800 -> time: 17 (prec: 4, pagesize 4096)
num-p: 6900 -> time: 16 (prec: 4, pagesize 4096)
num-p: 7000 -> time: 16 (prec: 4, pagesize 4096)
num-p: 7100 -> time: 17 (prec: 4, pagesize 4096)
num-p: 7200 -> time: 17 (prec: 4, pagesize 4096)
num-p: 7300 -> time: 17 (prec: 4, pagesize 4096)
num-p: 7400 -> time: 22 (prec: 4, pagesize 4096)
num-p: 7500 -> time: 16 (prec: 4, pagesize 4096)
num-p: 7600 -> time: 17 (prec: 4, pagesize 4096)
num-p: 7700 -> time: 17 (prec: 4, pagesize 4096)
num-p: 7800 -> time: 17 (prec: 4, pagesize 4096)
num-p: 7900 -> time: 17 (prec: 4, pagesize 4096)
num-p: 8000 -> time: 17 (prec: 4, pagesize 4096)
repeats for 1000 times
